ID,ProjectName,Watershed,Season,Elevation,Year,Month,Plot,Horizon,Measured_%_C,Measured_%_N,al_pyr_mg_g,fe_pyr_mg_g,ca_pyr_mg_g,mg_pyr_mg_g,mn_pyr_mg_g,al_ox_mg_g,fe_ox_mg_g,ca_ox_mg_g,mg_ox_mg_g,mn_ox_mg_g,al_dith_mg_g,fe_dith_mg_g,ca_dith_mg_g,mg_dith_mg_g,mn_dith_mg_g
HBB_119,HubbardBearBrook,W6,Summer,Low,2004,7,LT172,Oa/A,25.97,1.46,2.99147,3.48732,21.15284,2.46383,0.28998,3.13553,4.40166,0.11671,0.23905,0.0241,2.62818,4.28002,1.87399,0.21689,0.02677
HBB_120,HubbardBearBrook,W6,Summer,Low,2004,7,LT172,Mineral_0_10,4.3,0.23,1.61393,2.54641,2.75458,0.64722,0.05617,2.49513,7.39192,0.08797,0.12583,0.02448,1.77968,4.85186,0.56473,0.0902,0.01282
HBB_122,HubbardBearBrook,W6,Summer,Low,2004,7,LT174,Oa/A,32.9,1.41,1.94014,1.56378,22.47723,2.28074,0.24851,2.02056,2.42901,0.11117,0.22455,0.02205,1.80125,2.32844,2.10036,0.20274,0.02508
HBB_123,HubbardBearBrook,W6,Summer,Low,2004,7,LT174,Mineral_0_10,6.12,0.29,2.35531,8.36988,5.33466,0.67933,0.09313,2.98481,11.03171,0.10293,0.09809,0.02345,2.38225,9.29476,0.77755,0.07682,0.01666
HBB_125,HubbardBearBrook,W6,Summer,Low,2006,5,LT163,Oa/A,32.03,1.29,0.97432,1.29399,4.51454,1.11082,0.15988,1.09049,2.83688,0.07139,0.10925,0.01851,0.96553,2.51558,0.4715,0.10279,0.01696
HBB_126,HubbardBearBrook,W6,Summer,Low,2006,5,LT163,Mineral_0_10,4.96,0.23,0.87407,1.82472,1.35104,0.3158,0.0444,1.44831,5.32674,0.12836,0.04805,0.01907,1.00674,3.76129,0.18114,0.03582,0.01046
HBB_128,HubbardBearBrook,W6,Summer,Low,2006,5,LT162,Oa/A,38.23,1.62,1.51167,2.86061,22.83626,2.21561,0.19086,1.52876,3.90688,0.08265,0.21513,0.01601,1.42299,3.7545,2.38532,0.20415,0.01645
HBB_130,HubbardBearBrook,W6,Summer,Low,2006,5,LT168,Mineral_0_10,6.58,0.32,1.56536,2.69237,2.90105,0.75882,0.18853,2.26385,4.91315,0.10461,0.10485,0.02811,1.7039,3.61183,0.58099,0.0868,0.01944
HBB_131,HubbardBearBrook,W6,Summer,Low,2006,5,LT172,Oa/A,11.06,0.63,1.23079,4.06823,9.71981,1.54138,0.37906,1.48895,4.37126,0.0664,0.05692,0.01437,1.29617,4.83629,0.91251,0.13948,0.03803
HBB_132,HubbardBearBrook,W6,Summer,Low,2006,5,LT172,Mineral_0_10,3.6,0.22,2.06943,7.66985,2.79104,0.83671,0.17644,2.96124,10.11197,0.08462,0.15756,0.03212,2.14675,8.97423,0.30422,0.09527,0.02503
HBB_134,HubbardBearBrook,W6,Summer,Low,2006,5,LT174,Oa/A,24,1.18,9.5019,4.15463,5.11175,0.75633,0.16053,9.64764,5.3364,0.10228,0.07802,0.02205,8.43761,5.00391,0.79432,0.07316,0.02061
HBB_135,HubbardBearBrook,W6,Summer,Low,2006,5,LT174,Mineral_0_10,9.76,0.47,4.49049,11.82389,2.48343,0.53654,0.14628,5.35688,13.78247,0.09103,0.1131,0.02898,4.41139,12.75034,0.32425,0.07437,0.02787
HBB_136,HubbardBearBrook,W6,Summer,Low,2006,5,LT162,Mineral_0_10,4,0.15,1.54011,5.08398,2.52131,0.31402,0.0461,2.14939,7.64322,0.0949,0.04211,0.01385,1.70815,6.6039,0.22713,0.03335,0.00948
